Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
Iridium 84 (Iridium SV084),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,36105,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 86 (Iridium SV086),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,36105,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 90 (Iridium SV090),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,744,753,0.00063,99.8,689,556,1400,37298,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 91 (Iridium SV091),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,777,778,7.00E-005,100.4,689,556,1400,37298,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 94 (Iridium SV094),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,773,782,0.00063,100.4,689,556,1400,37298,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 95 (Iridium SV095),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,37298,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 96 (Iridium SV096),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,745,754,0.00063,99.8,689,556,1400,37298,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.521927108
Iridium 97 (Iridium SV097),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,777,778,7.00E-005,100.4,689,556,1400,37427,8,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 98 (Iridium SV098),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,748,750,0.00014,99.8,689,556,1400,37427,8,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,www.satellitedebris.net 12/12,NaN,1.507964474
IRIS (Interface Region Imaging Spectrometer),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,Sun-Synchronous,620,664,0.00314,97.5,236,NaN,NaN,41453,2,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,ZARYA,NaN,1.708677338
IRNSS-1A (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation,GEO,NaN,35712,35872,0.0019,1436,1425,614,1660,41456,10,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV,ZARYA,0.959931089,0.472984227
IRS-P6 (Resourcesat-1),India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,817,823,0.00042,101.3,1360,NaN,1200,37911,5,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV C5,www.satellitedebris.net 12/12,NaN,1.724385301
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,LEO,Sun-Synchronous,710,721,0.00078,99.1,1,NaN,NaN,40079,1,ITU Space Systems Design & Test Laboratory,Turkey,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,1.717403984
Jason 2,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Science,LEO,Intermediate,1332,1344,0.00078,112.4,553,510,500,39619,5,Thales Alenia Space,France,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.151917306
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35772,35801,0.00034,1436.1,4400,1858,NaN,38940,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,JM/12_08,2.225469329,0.020769418
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35784,35789,6.00E-005,1436.11,3531,1669,7200,36806,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,1.921607506,0.000174533
JCSat 13 (Japan Communications Satellite 13),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35780,35791,0.00013,1436.03,4500,NaN,NaN,41044,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,2.164208272,0.000872665
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.09,2982,1308,5200,35766,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,JM/12_08,2.234545041,0.000174533
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35788,35794,7.00E-005,1436.1,2500,1460,3500,37344,11,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,2.687807048,0.000174533
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,33782,37768,0.04729,1435.52,2900,1230,5200,36206,14.5,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,2.161590279,0.00122173
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35776,35797,0.00025,1436.1,4400,NaN,NaN,38819,12,Lockheed Martin Commercial Space Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,2.304532744,0.000174533
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,NaN,35780,35794,0.00017,1436.12,4000,NaN,NaN,40046,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,JM/10_09,2.486919651,0.000698132
Jugnu,India,Indian Institute of Technology Kanpur,Civil,Earth Observation,LEO,NaN,839,866,0.00187,102,3,NaN,3,40828,1,Indian Institute of Technology Kanpur,India,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,0.34906585
Kalpana-1 (Metsat-1),India,Indian Space Research Organization (ISRO),Government,Meteorology,GEO,NaN,35783,35789,7.00E-005,1436.08,1060,500,550,37511,0.5,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),JM/12_08,1.292765377,0.000698132
KazSat-2,Kazakhstan,JSC KazSat,Commercial,Communications,GEO,NaN,35786,35788,2.00E-005,1436.13,1300,NaN,NaN,40739,12,Khrunichev,Russia,Baikonur Cosmodrome,Proton M,JM/9_11,1.509709803,0.000523599
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,800,800,0,100.87,18000,10000,NaN,36302,5,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,JMSatcat1006,NaN,1.106538746
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, NROL 14, USA 161)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,202,1041,0.06,97.13,18000,10000,NaN,37169,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,oosa,NaN,1.706932008
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,264,1050,0.05593,97,18000,10000,NaN,38644,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,JMSR,NaN,1.708677338
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,200,1000,0.05739,97,18000,10000,NaN,40563,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,NaN,NaN,1.706932008
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,257,997,0.05288,97.25,18000,10000,NaN,41514,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,ZARYA,NaN,1.706932008
"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,National Institute of Information and Communications Technology (NICT),Government,Technology Development,GEO,NaN,35778,35792,0.00017,1436.04,5800,NaN,NaN,39069,NaN,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,JM/12_08,2.549227905,0.000523599
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,GEO,NaN,35776,35796,0.00024,1436.1,4850,2450,NaN,39501,NaN,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H-2A,JM/12_08,2.496693495,0.000349066
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Tokyo Metropolitan College of Industrial Technology,Civil,Technology Development,LEO,NaN,651,667,0.00114,97.92,3,NaN,NaN,39836,1,Tokyo Metropolitan College of Industrial Technology,Japan,Tanegashima Space Center,H-2A,SC - ASCR,NaN,1.710946266
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,676,698,0.00156,98.5,800,NaN,955,38926,3,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.713913325
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,LEO,Sun-Synchronous,679,696,0.0012,98.5,1000,NaN,1300,41046,4,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Tanegashima Space Center,H-2A,www.satellitedebris.net 12/12,NaN,1.713913325
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,LEO,Sun-Synchronous,535,552,0.00123,95.5,1000,NaN,1400,41508,5,Korea Aerospace Research Institute (KARI),South Korea,Yasny Cosmodrome,Dnepr,ZARYA,NaN,1.70344135
Kondor,Russia,Ministry of Defense,Military,Reconnaissance,LEO,NaN,497,501,0.00029,94.6,1150,NaN,NaN,41452,NaN,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,ZARYA,NaN,1.30428455
Koreasat 5 (Mugungwha 5),South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,GEO,NaN,35780,35792,0.00014,1436.1,4450,NaN,NaN,38951,NaN,Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,1.973618318,0.000349066
Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,Commercial,Communications,GEO,NaN,35780,35794,0.00017,1436.12,2850,1150,NaN,40541,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,SC - ASCR,2.024581932,0.000872665
Kuaizhou-1 (KZ-1),China (PR),National Academy of Sciences,Government,Remote Sensing,LEO,NaN,291,317,0.00195,90.61,NaN,NaN,NaN,41542,NaN,Harbin Institute of Technology,China (PR),Jiuquan Satellite Launch Center,Kuaizhou,SC - ASCR,NaN,1.686686189
KySat-2,USA,Kentucky Space,Civil,Technology Development,LEO,NaN,498,499,7.00E-005,94.58,2.5,NaN,NaN,41597,1,Kentucky Space Consortium,USA,Wallops Island Flight Facility,Minotaur 1,SC - ASCR,NaN,0.706858347
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,671,675,0.00028,98.2,14500,NaN,NaN,35727,5,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,JMSatcat304,NaN,0.994837674
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,574,676,0.00729,97.21,14500,NaN,NaN,36755,9,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,JMSatcat304,NaN,1.186823891
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,713,716,0.00021,99.08,14500,NaN,NaN,38472,9,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,SC - ASCR,NaN,0.995012207
Landsat 7,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,702,703,7.00E-005,98.8,2744,2200,1500,36265,15,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.713913325
Landsat 8,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,700,705,0.00035,98.8,2780,1512,4300,41316,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,SC - ASCR,NaN,1.713913325
LAPAN-Tubsat,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,617,637,0.00143,97.2,60,NaN,14,39092,NaN,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,www.satellitedebris.net 12/12,NaN,1.705186679
LatinSat A,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,610,668,0.00414,97.5,NaN,12,NaN,37610,NaN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,www.satellitedebris.net 12/12,NaN,1.127482697
LatinSat B,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,603,717,0.00811,97.9,NaN,12,NaN,37610,NaN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,www.satellitedebris.net 12/12,NaN,1.127482697
"Leasat 5 (Syncom IV-5, Leased Satellite F5)",USA/Australia,US DoD/Royal Australian Navy/Panamsat (owner),Military,Communications,GEO,NaN,35760,35812,0.00062,1436.1,3400,1388,1200,32882,10,Hughes,USA,Kennedy Space Center,Space Shuttle (STS 32R),JM/12_08,1.746725515,0.139102741
Lotos-S (Cosmos 2455),Russia,Ministry of Defense,Military,Reconnaissance,LEO,Sun-Synchronous,900,911,0.00076,103.1,5000,NaN,NaN,40137,NaN,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,NaN,1.172861257
Luch 5A,Russia,Russian Federal Space Agency,Government,Communications,GEO,NaN,35778,35793,0.00018,1436.8,950,NaN,NaN,40888,NaN,ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,JM/1_12,NaN,0.084648469
Luch 5B,Russia,Russian Federal Space Agency,Government,Communications,GEO,NaN,35772,35801,0.00034,1436.09,1282,950,NaN,41215,NaN,OAOÊISS,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,-0.27925268,0.003839724
Maroc Tubsat,Morocco/Germany,CTRS Morocco/Institut fr Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,LEO,Sun-Synchronous,984,1014,0.00204,105.1,47,NaN,56,37235,0.5,CRTS Morocco/Institut fr Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,www.satellitedebris.net 12/12,NaN,1.731366618
MaSat 1  (Magyar Satellite/Oscar 72),Hungary,Budapest University of Technology and Economics,Civil,Technology Development,LEO,NaN,305,1297,0.06917,100.9,1,NaN,NaN,40952,NaN,Budapest University of Technology and Economics,Hungary,Guiana Space Center,Vega,www.satellitedebris.net 12/12,NaN,1.21300383
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat  Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,University of Michigan/Montana University,Civil,Technology Development,LEO,NaN,457,816,0.02562,97.45,2,NaN,NaN,40844,NaN,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,SC - ASCR,NaN,1.774999849
MCubed-2 (Michigan Multipurpose MinisatelliteÊ2),USA,University of Michigan Exploratory Lab,Civil,Technology Development,LEO,NaN,443,886,0.03149,98,1,NaN,NaN,41614,NaN,University of Michigan,USA,Vandenberg AFB,Atlas 5,ZARYA estimated,NaN,2.09963109
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,NaN,35782,35791,0.00011,1436.12,1450,650,1200,35383,11.5,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,2.583087293,0.019024089
Measat 3 (Malaysia East Asia Sat 3),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.1,4900,3220,10800,39062,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,JM/12_08,1.597674397,0
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,NaN,35728,35788,0.00071,1434.6,2417,NaN,NaN,39985,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,SC - ASCR,1.596976266,0.000698132
Megha-Tropiques,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,NaN,853,868,0.00104,102.2,1000,NaN,NaN,40828,5,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,0.34906585
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,National Reconnaissance Office (NRO)/USAF,Military,Surveillance,GEO,NaN,35598,35976,0.00448,1436.13,8000,4000,NaN,34573,NaN,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.487819526,0.089011792
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,National Reconnaissance Office (NRO)/USAF,Military,Surveillance,GEO,NaN,33674,37900,0.05012,1436.12,8000,4000,NaN,35179,NaN,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.410326907,0.127932634
Meridian-3,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,961,39388,0.72382,645.98,2500,NaN,NaN,40484,NaN,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,NaN,1.09606677
Meridian-4,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,964,39396,0.72377,717.88,2500,NaN,NaN,40667,NaN,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,NaN,1.09606677
Meridian-6 (Meridian 16L),Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,1006,39362,0.72223,718.04,NaN,NaN,NaN,41227,NaN,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,NaN,1.09484504
Meteor-M (Meteor-M1),Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Meteorology,LEO,Polar,818,820,0.00014,101.3,2700,NaN,NaN,40073,5,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1B,www.satellitedebris.net 12/12,NaN,1.720894642
"Meteosat 10 (MSGalaxy-3,MSG 3)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,NaN,35784,35791,8.00E-005,1436.15,2000,NaN,NaN,41095,7,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,ZARYA,NaN,0.031415927
Meteosat 7 (MTP 1),Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,NaN,35770,35797,0.00032,1435.96,696,320,200,35675,5,Alcatel,France,Guiana Space Center,Ariane 5,JM/12_08,-1.009672972,0.082205008
"Meteosat 8 (MSGalaxy-1, MSG-1)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,NaN,35781,35793,0.00014,1436.1,2000,1000,700,37489,12,Alcatel,France,Guiana Space Center,Ariane 5,JM/12_08,0.161792022,0.008028515
"Meteosat 9 (MSGalaxy-2, MSG 2)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,NaN,35775,35795,0.00024,1436,2000,1000,700,38707,12,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,JM/12_08,-0.000349066,0.005061455
MetOp-A (Meteorological Operational satellite),Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Science/Meteorology,LEO,Polar,820,821,7.00E-005,101.3,4193,3750,NaN,39009,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),www.satellitedebris.net 12/12,NaN,1.722639972
MetOp-B (Meteorological Operational satellite),Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Science/Meteorology,LEO,Polar,819,822,0.00021,101.3,4085,NaN,NaN,41169,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1A,SC - ASCR,NaN,1.722639972
Mexsat-3 (Mexsat Bicentenario),Mexico,Secretaria de Comunicaciones y Transportes (SCT),Government/Military,Communications,GEO,NaN,35784,35791,8.00E-005,1436.16,2900,NaN,3500,41262,15,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,SC - ASCR,-2.005383311,0.00122173
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,NaN,35754,35819,0.00077,1436.13,4536,NaN,8000,34372,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,JM/12_08,-0.678933079,0.104545222
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,NaN,35765,35809,0.00052,1436.13,4536,NaN,8000,35009,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,JM/304,0.068765973,0.006108652
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,NaN,35764,35768,5.00E-005,1435.04,4536,NaN,8000,36949,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,JMSatcat10_06,-1.185078562,0.078539816
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,NaN,35753,35820,0.00079,1436.12,4536,NaN,8000,37272,0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,JM/304,0.068416907,0.060213859
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,US Air Force,Military,Communications,GEO,NaN,35768,35806,0.00045,1436.13,4536,NaN,8000,37719,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,JM/12_08,-1.570447261,0.0143117
"MiRÊÊ(Mikhail Reshetnev [MiR], Yubileiny-2/RS-40)",Russia,Joint Stock Company-Information Satellite Systems,Civil,Earth Observation/Technology Development,LEO,NaN,1481,1510,0.00184,115.9,65,35,40,41118,1,Joint Stock Company-Information Satellite Systems/Siberian State Aerospace University (SibSAU),Russia,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.439896633
MKA-FKI-1 (Zond PP),Russia,Lavochkin Research and Production Association (Lavochkin NPO),Government,Remote Sensing/Earth Science,LEO,Sun-Synchronous,805,821,0.00111,101.2,110,NaN,220,41112,3,Lavochkin NPO,Russia,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,1.72613063
MOST (Microvariability & Oscillations of STars),Canada,Canadian Space Agency,Government,Astrophysics,LEO,Sun-Synchronous,817,832,0.00104,101.4,53,53,35,37802,1,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,NaN,1.722639972
Mozhayets 4 (RS-22),Russia,Mozhaisky Space Engineering Academy,Civil,Technology Development,LEO,Sun-Synchronous,669,690,0.00149,98.3,64,NaN,NaN,37891,NaN,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.706932008
MSAT 1,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,NaN,35763,35809,0.00055,1436.09,2850,1330,3300,35175,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,JM/12_08,-1.857553923,0.023911011
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.09,2850,1330,3300,34796,10,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,JM/12_08,-1.766447736,0.070162236
MTI (Multispectral Thermal Imager),USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,LEO,Sun-Synchronous,500,525,0.00182,94.9,587,NaN,575,36597,3,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,JMSatcat1104,NaN,1.699950691
MTSAT-1R (Himawari 6),Japan,Japanese Ministry of Transport/Japan Meteorological Agency,Government,Meteorology/Navigation,GEO,NaN,35778,35796,0.00021,1436.1,2900,1250,2700,38409,5,Space Systems/Loral,USA,Tanegashima Space Center,H-2A,JM/12_08,2.444682683,0.00122173
MTSAT-2 (Multi-Functional Transport Satellite),Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Meteorology,GEO,NaN,35776,35797,0.00025,1436.1,2900,1250,2700,38766,5,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H-2A,JM/12_08,2.531774613,0.000174533
MUOS-1 (Mobile User Objective System 1),USA,DoD/US Navy,Military,Communications,GEO,NaN,35800,35800,0,1436.1,6804,NaN,NaN,40963,0.5,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,Estimated,NaN,NaN
MUOS-2 (Mobile User Objective System 2),USA,DoD/US Navy,Military,Communications,GEO,NaN,35800,35900,0.00118,1436.1,6804,NaN,NaN,41474,0.5,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,Estimated,NaN,NaN
